time,symbol,side,,q,p,t,fee,
2020-07-31T09:29:42.787,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:44.332,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:44.331,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:46.083,BNBBTC,BUY,MARKET,0.12,0.001845,0.0002214,9E-05,FILLED
2020-07-31T09:29:46.899,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:29:47.167,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:47.233,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:29:47.93,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:29:48.207,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:29:49.669,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:29:49.763,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:49.765,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:29:50.235,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:50.355,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:29:50.448,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:30:00.323,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:30:00.43,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:02.132,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:30:02.132,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:02.647,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:30:02.743,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:03.188,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:03.191,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
